emp_id,days_present,days_absent,leaves_taken,salary_prev,salary_curr,overtime_hours,risk_label
EMP1000,21,9,3,20860,21250,42,0
EMP1001,22,8,4,96820,98085,18,0
EMP1002,21,9,2,64131,75154,2,0
EMP1003,20,10,4,20769,18202,59,1
EMP1004,19,11,0,73707,88476,21,1
EMP1005,27,3,3,45658,59600,41,1
EMP1006,26,4,3,79150,74339,46,1
EMP1007,28,2,2,87435,83702,56,1
EMP1008,17,13,4,23890,27728,20,1
EMP1009,23,7,1,30627,34419,59,1
EMP1010,28,2,1,63001,69017,25,0
EMP1011,19,11,1,43483,54270,7,1
EMP1012,29,1,2,55920,52505,39,0
EMP1013,18,12,1,86557,93210,53,1
EMP1014,24,6,3,60757,65449,17,0
EMP1015,24,6,3,85697,84994,35,0
EMP1016,28,2,5,21016,24545,46,1
EMP1017,19,11,1,83704,85035,59,1
EMP1018,27,3,0,58044,71490,44,1
EMP1019,15,15,0,60774,58342,23,1
EMP1020,15,15,3,22695,33117,10,1
EMP1021,17,13,0,53159,62145,34,1
EMP1022,15,15,2,58660,57221,38,1
EMP1023,24,6,0,72251,75643,7,0
EMP1024,26,4,1,72256,69710,23,0
EMP1025,19,11,2,83335,89300,26,1
EMP1026,17,13,0,28110,36883,2,1
EMP1027,15,15,4,26910,34595,38,1
EMP1028,25,5,0,20206,33074,50,1
EMP1029,29,1,0,74268,81651,3,0
EMP1030,28,2,4,91910,88588,42,0
EMP1031,27,3,3,75820,87018,58,1
EMP1032,17,13,5,42299,48116,41,1
EMP1033,27,3,5,69080,75332,5,0
EMP1034,26,4,3,89163,100320,10,0
EMP1035,24,6,3,41976,48470,32,0
EMP1036,15,15,0,86842,88618,51,1
EMP1037,27,3,0,29474,32000,5,0
EMP1038,22,8,2,23748,32293,43,0
EMP1039,22,8,2,81087,93966,40,1
EMP1040,18,12,0,71005,79813,57,1
EMP1041,18,12,3,72733,79382,2,1
EMP1042,15,15,4,46736,46473,27,1
EMP1043,20,10,4,58623,61015,0,0
EMP1044,17,13,5,70859,71650,5,1
EMP1045,21,9,3,72662,67864,55,1
EMP1046,25,5,0,45342,44731,23,0
EMP1047,19,11,3,85733,82663,47,1
EMP1048,15,15,0,62107,68696,15,1
EMP1049,27,3,2,69811,67622,58,1
EMP1050,18,12,2,54754,58092,19,1
EMP1051,21,9,3,28680,43040,39,1
EMP1052,21,9,1,31111,30847,10,0
EMP1053,26,4,0,59384,68641,22,0
